Verbatim,Species,Class,Order,Family,Genus,Epithet,Description.year,IUCN.2022.2,IUCN.2023.1,Assesement.year,Assesement.available.online,Red.Book,MADS.1912,MADS.0126,CITES,Endemic,Polygon,Polygon.name,Phylo.name,Notes
Ninia teresitae,Ninia teresitae,Reptilia,Serpentes,Colubridae,Ninia,teresitae,2017,NE,NE,NA,NA,NE,No,No,No,No,No,NA,NA,
Nothopsis rugosus,Nothopsis rugosus,Reptilia,Serpentes,Colubridae,Nothopsis,rugosus,1871,LC,LC,2013,2016,LC,No,No,No,No,Yes,Nothopsis rugosus,Nothopsis_rugosus,
Oreosaurus serranus,Oreosaurus serranus,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Oreosaurus,serranus,2017,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Oxybelis aeneus,Oxybelis aeneus,Reptilia,Serpentes,Colubridae,Oxybelis,aeneus,1824,LC,LC,2014,2019,LC,No,No,No,No,Yes,Oxybelis aeneus,Oxybelis_aeneus,
Oxybelis brevirostris,Oxybelis brevirostris,Reptilia,Serpentes,Colubridae,Oxybelis,brevirostris,1861,LC,LC,2012,2016,LC,No,No,No,No,Yes,Oxybelis brevirostris,Oxybelis_brevirostris,
Oxybelis fulgidus,Oxybelis fulgidus,Reptilia,Serpentes,Colubridae,Oxybelis,fulgidus,1803,LC,LC,2013,2019,LC,No,No,No,No,Yes,Oxybelis fulgidus,Oxybelis_fulgidus,
Oxybelis vittatus,Oxybelis vittatus,Reptilia,Serpentes,Colubridae,Oxybelis,vittatus,1854,NE,NE,NA,NA,NE,No,No,No,No,No,NA,NA,
Oxyrhopus formosus,Oxyrhopus formosus,Reptilia,Serpentes,Colubridae,Oxyrhopus,formosus,1820,LC,LC,2012,2021,NE,No,No,No,No,No,NA,Oxyrhopus_formosus,
Oxyrhopus leucomelas,Oxyrhopus leucomelas,Reptilia,Serpentes,Colubridae,Oxyrhopus,leucomelas,1916,LC,LC,2014,2016,LC,No,No,No,No,Yes,Oxyrhopus leucomelas,Oxyrhopus_leucomelas,
Oxyrhopus melanogenys,Oxyrhopus melanogenys,Reptilia,Serpentes,Colubridae,Oxyrhopus,melanogenys,1845,LC,LC,2014,2019,NE,No,No,No,No,Yes,Oxyrhopus melanogenys,Oxyrhopus_melanogenys,
Oxyrhopus occipitalis,Oxyrhopus occipitalis,Reptilia,Serpentes,Colubridae,Oxyrhopus,occipitalis,1824,LC,LC,2014,2019,LC,No,No,No,No,Yes,Oxyrhopus occipitalis,Oxyrhopus_occipitalis,
Oxyrhopus petolarius,Oxyrhopus petolarius,Reptilia,Serpentes,Colubridae,Oxyrhopus,petolarius,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Oxyrhopus petolarius,Oxyrhopus_petolarius,
Oxyrhopus vanidicus,Oxyrhopus vanidicus,Reptilia,Serpentes,Colubridae,Oxyrhopus,vanidicus,2009,LC,LC,2014,2019,NE,No,No,No,No,Yes,Oxyrhopus vanidicus,Oxyrhopus_vanidicus,
Palusophis bifossatus,Palusophis bifossatus,Reptilia,Serpentes,Colubridae,Palusophis,bifossatus,1820,LC,LC,2014,2019,LC,No,No,No,No,Yes,Palusophis bifossatus,Mastigodryas_bifossatus,
Philodryas olfersii,Philodryas olfersii,Reptilia,Serpentes,Colubridae,Philodryas,olfersii,1823,LC,LC,2014,2019,NE,No,No,No,No,Yes,Philodryas olfersii,Philodryas_olfersii,
Phimophis guianensis,Phimophis guianensis,Reptilia,Serpentes,Colubridae,Phimophis,guianensis,1848,LC,LC,2013,2019,LC,No,No,No,No,Yes,Phimophis guianensis,Phimophis_guianensis,
Pholidobolus montium,Pholidobolus montium,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Pholidobolus,montium,1863,NT,NT,2013,2015,NT,No,No,No,No,Yes,Pholidobolus montium,Pholidobolus_montium,
Pholidobolus paramuno,Pholidobolus paramuno,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Pholidobolus,paramuno,2018,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Pholidobolus vertebralis,Pholidobolus vertebralis,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Pholidobolus,vertebralis,1879,LC,LC,2014,2017,LC,No,No,No,Yes,Yes,Pholidobolus vertebralis,Cercosaura_vertebralis,
Phrynonax shropshirei,Phrynonax shropshirei,Reptilia,Serpentes,Colubridae,Phrynonax,shropshirei,1924,LC,LC,2014,2017,LC,No,No,No,No,Yes,Phrynonax shropshirei,Pseustes_shropshirei,
Phyllodactylus transversalis,Phyllodactylus transversalis,Reptilia,Gekkota,Phyllodactylidae,Phyllodactylus,transversalis,1975,LC,LC,2013,2016,LC,No,No,No,No,No,NA,Phyllodactylus_transversalis,
Phyllodactylus ventralis,Phyllodactylus ventralis,Reptilia,Gekkota,Phyllodactylidae,Phyllodactylus,ventralis,1875,LC,LC,2013,2016,LC,No,No,No,No,Yes,Phyllodactylus ventralis,Phyllodactylus_ventralis,
Plesiodipsas perijanensis,Plesiodipsas perijanensis,Reptilia,Serpentes,Colubridae,Plesiodipsas,perijanensis,1953,DD,DD,2013,2016,DD,No,No,No,No,Yes,Plesiodipsas perijanensis,Plesiodipsas_perijanensis,
Plica medemi,Plica medemi,Reptilia,Iguania,Tropiduridae,Plica,medemi,2013,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,Plica_medemi,
Plica rayi,Plica rayi,Reptilia,Iguania,Tropiduridae,Plica,rayi,2013,NE,NE,NA,NA,NE,No,No,No,No,No,NA,Plica_rayi,
Plica umbra,Plica umbra,Reptilia,Iguania,Tropiduridae,Plica,umbra,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Plica umbra,Plica_umbra,
Pliocercus euryzonus,Pliocercus euryzonus,Reptilia,Serpentes,Colubridae,Pliocercus,euryzonus,1862,LC,LC,2013,2016,LC,No,No,No,No,Yes,Pliocercus euryzonus,Pliocercus_euryzonus,
Polychrus gutturosus,Polychrus gutturosus,Reptilia,Iguania,Polychrotidae,Polychrus,gutturosus,1846,LC,LC,2013,2017,LC,No,No,No,No,Yes,Polychrus gutturosus,Polychrus_gutturosus,
Polychrus marmoratus,Polychrus marmoratus,Reptilia,Iguania,Polychrotidae,Polychrus,marmoratus,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Polychrus marmoratus,Polychrus_marmoratus,
Porthidium lansbergii,Porthidium lansbergii,Reptilia,Serpentes,Viperidae,Porthidium,lansbergii,1841,LC,LC,2013,2021,LC,No,No,No,No,Yes,Porthidium lansbergii,Porthidium_lansbergii,
Porthidium nasutum,Porthidium nasutum,Reptilia,Serpentes,Viperidae,Porthidium,nasutum,1868,LC,LC,2007,2007,LC,No,No,No,No,Yes,Porthidium nasutum,Porthidium_nasutum,
Potamites ecpleopus,Potamites ecpleopus,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Potamites,ecpleopus,1875,LC,LC,2014,2019,LC,No,No,No,No,Yes,Potamites ecpleopus,Potamites_ecpleopus,
Pseudoboa coronata,Pseudoboa coronata,Reptilia,Serpentes,Colubridae,Pseudoboa,coronata,1801,LC,LC,2013,2019,LC,No,No,No,No,Yes,Pseudoboa coronata,Pseudoboa_coronata,
Pseudoboa neuwiedii,Pseudoboa neuwiedii,Reptilia,Serpentes,Colubridae,Pseudoboa,neuwiedii,1854,LC,LC,2015,2019,LC,No,No,No,No,Yes,Pseudoboa neuwiedii,Pseudoboa_neuwiedii,
Pseudoeryx plicatilis,Pseudoeryx plicatilis,Reptilia,Serpentes,Colubridae,Pseudoeryx,plicatilis,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Pseudoeryx plicatilis,Pseudoeryx_plicatilis,
Pseudogonatodes furvus,Pseudogonatodes furvus,Reptilia,Gekkota,Sphaerodactylidae,Pseudogonatodes,furvus,1915,DD,DD,2013,2015,DD,No,No,No,Yes,Yes,Pseudogonatodes furvus,Pseudogonatodes_furvus,
Pseudogonatodes guianensis,Pseudogonatodes guianensis,Reptilia,Gekkota,Sphaerodactylidae,Pseudogonatodes,guianensis,1935,LC,LC,2014,2019,LC,No,No,No,No,Yes,Pseudogonatodes guianensis,Pseudogonatodes_guianensis,
Pseudogonatodes peruvianus,Pseudogonatodes peruvianus,Reptilia,Gekkota,Sphaerodactylidae,Pseudogonatodes,peruvianus,1970,NT,NT,2014,2017,NT,No,No,No,No,No,NA,Pseudogonatodes_peruvianus,
Rhadinaea decorata,Rhadinaea decorata,Reptilia,Serpentes,Colubridae,Rhadinaea,decorata,1858,LC,LC,2012,2017,NE,No,No,No,No,Yes,Rhadinaea decorata,Rhadinaea_decorata,
Rhadinaea vermiculaticeps,Rhadinaea vermiculaticeps,Reptilia,Serpentes,Colubridae,Rhadinaea,vermiculaticeps,1860,NT,NT,2012,2013,NE,No,No,No,No,No,NA,Rhadinaea_vermiculaticeps,
Rhinobothryum bovallii,Rhinobothryum bovallii,Reptilia,Serpentes,Colubridae,Rhinobothryum,bovallii,1916,LC,LC,2014,2017,NE,No,No,No,No,Yes,Rhinobothryum bovallii,Rhinobothryum_bovallii,
Rhinobothryum lentiginosum,Rhinobothryum lentiginosum,Reptilia,Serpentes,Colubridae,Rhinobothryum,lentiginosum,1785,LC,LC,2014,2020,NE,No,No,No,No,Yes,Rhinobothryum lentiginosum,Rhinobothryum_lentiginosum,
Riama columbiana,Riama columbiana,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Riama,columbiana,1914,EN,EN,2013,2015,EN,EN,EN,No,Yes,Yes,Riama columbiana,Riama_columbiana,
Riama meleagris,Riama meleagris,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Riama,meleagris,1885,NT,NT,2016,2017,NE,No,No,No,No,No,NA,Riama_meleagris,
Riama simotera,Riama simotera,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Riama,simotera,1879,EN,EN,2013,2017,EN,EN,EN,No,No,Yes,Riama simotera,Riama_simotera,
Riama striata,Riama striata,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Riama,striata,1863,LC,LC,2013,2016,LC,No,No,No,Yes,Yes,Riama striata,Riama_striata,
Saphenophis antioquiensis,Saphenophis antioquiensis,Reptilia,Serpentes,Colubridae,Saphenophis,antioquiensis,1943,DD,DD,2013,2016,DD,No,No,No,Yes,Yes,Saphenophis antioquiensis,Saphenophis_antioquiensis,
Saphenophis boursieri,Saphenophis boursieri,Reptilia,Serpentes,Colubridae,Saphenophis,boursieri,1867,NT,NT,2013,2017,NT,No,No,No,No,Yes,Saphenophis boursieri,Saphenophis_boursieri,
Saphenophis sneiderni,Saphenophis sneiderni,Reptilia,Serpentes,Colubridae,Saphenophis,sneiderni,1973,EN,EN,2013,2017,EN,EN,EN,No,Yes,Yes,Saphenophis sneiderni,Saphenophis_sneiderni,
Saphenophis tristriatus,Saphenophis tristriatus,Reptilia,Serpentes,Colubridae,Saphenophis,tristriatus,1940,DD,DD,2013,2016,DD,No,No,No,Yes,Yes,Saphenophis tristriatus,Saphenophis_tristriatus,
Scaphiodontophis annulatus,Scaphiodontophis annulatus,Reptilia,Serpentes,Colubridae,Scaphiodontophis,annulatus,1854,LC,LC,2012,2013,NE,No,No,No,No,No,NA,Scaphiodontophis_annulatus,
Scaphiodontophis venustissimus,Scaphiodontophis venustissimus,Reptilia,Serpentes,Colubridae,Scaphiodontophis,venustissimus,1894,LC,LC,2012,2022,NE,No,No,No,No,Yes,Scaphiodontophis venustissimus,Scaphiodontophis_venustissimus,
Sibon annulatus,Sibon annulatus,Reptilia,Serpentes,Colubridae,Sibon,annulatus,1872,LC,LC,2012,2013,NE,No,No,No,No,No,NA,Sibon_annulatus,
Sibon ayerbeorum,Sibon ayerbeorum,Reptilia,Serpentes,Colubridae,Sibon,ayerbeorum,2019,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Sibon nebulatus,Sibon nebulatus,Reptilia,Serpentes,Colubridae,Sibon,nebulatus,1758,LC,LC,2015,2019,LC,No,No,No,No,Yes,Sibon nebulatus,Sibon_nebulatus,
Siphlophis cervinus,Siphlophis cervinus,Reptilia,Serpentes,Colubridae,Siphlophis,cervinus,1768,LC,LC,2014,2019,LC,No,No,No,No,Yes,Siphlophis cervinus,Siphlophis_cervinus,
Siphlophis compressus,Siphlophis compressus,Reptilia,Serpentes,Colubridae,Siphlophis,compressus,1803,LC,LC,2015,2019,LC,No,No,No,No,Yes,Siphlophis compressus,Siphlophis_compressus,
Sphaerodactylus argus,Sphaerodactylus argus,Reptilia,Gekkota,Sphaerodactylidae,Sphaerodactylus,argus,1850,LC,LC,2016,2017,LC,No,No,No,No,Yes,Sphaerodactylus argus,Sphaerodactylus_argus,
Sphaerodactylus heliconiae,Sphaerodactylus heliconiae,Reptilia,Gekkota,Sphaerodactylidae,Sphaerodactylus,heliconiae,1982,NT,NT,2013,2017,DD,No,No,No,Yes,Yes,Sphaerodactylus heliconiae,Sphaerodactylus_heliconiae,
Sphaerodactylus homolepis,Sphaerodactylus homolepis,Reptilia,Gekkota,Sphaerodactylidae,Sphaerodactylus,homolepis,1886,LC,LC,2012,2013,NE,No,No,No,No,No,NA,Sphaerodactylus_homolepis,
Sphaerodactylus lineolatus,Sphaerodactylus lineolatus,Reptilia,Gekkota,Sphaerodactylidae,Sphaerodactylus,lineolatus,1856,LC,LC,2013,2015,LC,No,No,No,No,Yes,Sphaerodactylus lineolatus,Sphaerodactylus_lineolatus,
Sphaerodactylus scapularis,Sphaerodactylus scapularis,Reptilia,Gekkota,Sphaerodactylidae,Sphaerodactylus,scapularis,1902,EN,EN,2013,2015,DD,No,No,No,No,Yes,Sphaerodactylus scapularis,Sphaerodactylus_scapularis,
Spilotes pullatus,Spilotes pullatus,Reptilia,Serpentes,Colubridae,Spilotes,pullatus,1758,LC,LC,2015,2019,LC,No,No,No,No,Yes,Spilotes pullatus,Spilotes_pullatus,
Spilotes sulphureus,Spilotes sulphureus,Reptilia,Serpentes,Colubridae,Spilotes,sulphureus,1824,LC,LC,2015,2019,LC,No,No,No,No,Yes,Spilotes sulphureus,Spilotes_sulphureus,
Stenocercus bolivarensis,Stenocercus bolivarensis,Reptilia,Iguania,Tropiduridae,Stenocercus,bolivarensis,1982,DD,DD,2013,2017,DD,No,No,No,Yes,Yes,Stenocercus bolivarensis,Stenocercus_bolivarensis,
Stenocercus erythrogaster,Stenocercus erythrogaster,Reptilia,Iguania,Tropiduridae,Stenocercus,erythrogaster,1856,LC,LC,2013,2016,LC,No,No,No,Yes,Yes,Stenocercus erythrogaster,Stenocercus_erythrogaster,
Stenocercus guentheri,Stenocercus guentheri,Reptilia,Iguania,Tropiduridae,Stenocercus,guentheri,1885,LC,LC,2014,2017,NE,No,No,No,No,Yes,Stenocercus guentheri,Stenocercus_guentheri,
Stenocercus iridescens,Stenocercus iridescens,Reptilia,Iguania,Tropiduridae,Stenocercus,iridescens,1859,LC,LC,2013,2016,LC,No,No,No,No,Yes,Stenocercus iridescens,Stenocercus_iridescens,
Stenocercus lache,Stenocercus lache,Reptilia,Iguania,Tropiduridae,Stenocercus,lache,1983,LC,LC,2013,2015,LC,No,No,No,Yes,Yes,Stenocercus lache,Stenocercus_lache,
Stenocercus santander,Stenocercus santander,Reptilia,Iguania,Tropiduridae,Stenocercus,santander,2007,LC,LC,2013,2015,LC,No,No,No,Yes,Yes,Stenocercus santander,Stenocercus_santander,
Stenocercus trachycephalus,Stenocercus trachycephalus,Reptilia,Iguania,Tropiduridae,Stenocercus,trachycephalus,1851,LC,LC,2013,2015,LC,No,No,No,Yes,Yes,Stenocercus trachycephalus,Stenocercus_trachycephalus,
Stenorrhina degenhardtii,Stenorrhina degenhardtii,Reptilia,Serpentes,Colubridae,Stenorrhina,degenhardtii,1846,LC,LC,2013,2017,LC,No,No,No,No,Yes,Stenorrhina degenhardtii,Stenorrhina_degenhardtii,
Synophis bicolor,Synophis bicolor,Reptilia,Serpentes,Colubridae,Synophis,bicolor,1896,EN,EN,2013,2020,NE,No,No,No,No,Yes,Synophis bicolor,Synophis_bicolor,
Synophis lasallei,Synophis lasallei,Reptilia,Serpentes,Colubridae,Synophis,lasallei,1950,DD,DD,2013,2015,DD,No,No,No,Yes,Yes,Synophis lasallei,Synophis_lasallei,
Synophis niceforomariae,Synophis niceforomariae,Reptilia,Serpentes,Colubridae,Synophis,niceforomariae,2016,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Synophis plectovertebralis,Synophis plectovertebralis,Reptilia,Serpentes,Colubridae,Synophis,plectovertebralis,2001,CR,CR,2013,2016,CR,CR,CR,No,Yes,Yes,Synophis plectovertebralis,Synophis_plectovertebralis,
Taeniophallus brevirostris,Taeniophallus brevirostris,Reptilia,Serpentes,Colubridae,Taeniophallus,brevirostris,1863,LC,LC,2014,2019,LC,No,No,No,No,Yes,Taeniophallus brevirostris,Taeniophallus_brevirostris,
Adelphostigma occipitalis,Taeniophallus occipitalis,Reptilia,Serpentes,Colubridae,Adelphostigma,occipitalis,1863,LC,LC,2014,2019,LC,No,No,No,No,Yes,Taeniophallus occipitalis,Taeniophallus_occipitalis,
Tantilla alticola,Tantilla alticola,Reptilia,Serpentes,Colubridae,Tantilla,alticola,1903,LC,LC,2012,2017,NE,No,No,No,No,Yes,Tantilla alticola,Tantilla_alticola,
Tantilla melanocephala,Tantilla melanocephala,Reptilia,Serpentes,Colubridae,Tantilla,melanocephala,1758,LC,LC,2015,2019,LC,No,No,No,No,Yes,Tantilla melanocephala,Tantilla_melanocephala,
Tantilla nigra,Tantilla nigra,Reptilia,Serpentes,Colubridae,Tantilla,nigra,1914,DD,DD,2020,2021,DD,No,No,No,Yes,Yes,Tantilla nigra,Tantilla_nigra,
Tantilla reticulata,Tantilla reticulata,Reptilia,Serpentes,Colubridae,Tantilla,reticulata,1860,LC,LC,2013,2015,LC,No,No,No,No,Yes,Tantilla reticulata,Tantilla_reticulata,
Tantilla semicincta,Tantilla semicincta,Reptilia,Serpentes,Colubridae,Tantilla,semicincta,1854,LC,LC,2013,2016,LC,No,No,No,Yes,Yes,Tantilla semicincta,Tantilla_semicincta,
Tantilla supracincta,Tantilla supracincta,Reptilia,Serpentes,Colubridae,Tantilla,supracincta,1863,LC,LC,2014,2017,NE,No,No,No,No,Yes,Tantilla supracincta,Tantilla_supracincta,
Dryophylax dixoni,Dryophylax dixoni,Reptilia,Serpentes,Colubridae,Dryophylax,dixoni,2007,LC,LC,2013,2022,LC,No,No,No,No,Yes,Dryophylax dixoni,Thamnodynastes_dixoni,
Dryophylax gambotensis,Dryophylax gambotensis,Reptilia,Serpentes,Colubridae,Dryophylax,gambotensis,1989,LC,LC,2013,2016,LC,No,No,No,Yes,Yes,Dryophylax gambotensis,Thamnodynastes_gambotensis,
Thamnodynastes pallidus,Thamnodynastes pallidus,Reptilia,Serpentes,Colubridae,Thamnodynastes,pallidus,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Thamnodynastes pallidus,Thamnodynastes_pallidus,
Dryophylax paraguanae,Dryophylax paraguanae,Reptilia,Serpentes,Colubridae,Dryophylax,paraguanae,2007,LC,LC,2013,2022,LC,No,No,No,No,Yes,Dryophylax paraguanae,Thamnodynastes_paraguanae,
Thecadactylus rapicauda,Thecadactylus rapicauda,Reptilia,Gekkota,Phyllodactylidae,Thecadactylus,rapicauda,1782,LC,LC,2014,2019,LC,No,No,No,No,Yes,Thecadactylus rapicauda,Thecadactylus_rapicauda,
Thecadactylus solimoensis,Thecadactylus solimoensis,Reptilia,Gekkota,Phyllodactylidae,Thecadactylus,solimoensis,2007,LC,LC,2014,2019,LC,No,No,No,No,Yes,Thecadactylus solimoensis,Thecadactylus_solimoensis,
Trachyboa boulengeri,Trachyboa boulengeri,Reptilia,Serpentes,Tropidophiidae,Trachyboa,boulengeri,1910,LC,LC,2016,2019,DD,No,No,Appendix II,No,Yes,Trachyboa boulengeri,Trachyboa_boulengeri,
Tretanorhinus mocquardi,Tretanorhinus mocquardi,Reptilia,Serpentes,Colubridae,Tretanorhinus,mocquardi,1891,DD,DD,2012,2016,NE,No,No,No,No,No,NA,Tretanorhinus_mocquardi,
Tretanorhinus taeniatus,Tretanorhinus taeniatus,Reptilia,Serpentes,Colubridae,Tretanorhinus,taeniatus,1903,NT,NT,2013,2016,NT,No,No,No,No,Yes,Tretanorhinus taeniatus,Tretanorhinus_taeniatus,
Tretioscincus agilis,Tretioscincus agilis,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Tretioscincus,agilis,1916,LC,LC,2014,2019,NE,No,No,No,No,No,NA,Tretioscincus_agilis,
Tretioscincus bifasciatus,Tretioscincus bifasciatus,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Tretioscincus,bifasciatus,1851,LC,LC,2013,2016,LC,No,No,No,Yes,Yes,Tretioscincus bifasciatus,Tretioscincus_bifasciatus,
Tretioscincus oriximinensis,Tretioscincus oriximinensis,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Tretioscincus,oriximinensis,1995,LC,LC,2014,2019,LC,No,No,No,No,Yes,Tretioscincus oriximinensis,Tretioscincus_oriximinensis,
Trilepida brevissima,Trilepida brevissima,Reptilia,Serpentes,Leptotyphlopidae,Trilepida,brevissima,1964,DD,DD,2013,2022,DD,No,No,No,Yes,Yes,Trilepida brevissima,Trilepida_brevissima,
Trilepida dugandi,Trilepida dugandi,Reptilia,Serpentes,Leptotyphlopidae,Trilepida,dugandi,1944,LC,LC,2013,2015,LC,No,No,No,Yes,Yes,Trilepida dugandi,Trilepida_dugandi,
Trilepida joshuai,Trilepida joshuai,Reptilia,Serpentes,Leptotyphlopidae,Trilepida,joshuai,1944,LC,LC,2013,2015,LC,No,No,No,Yes,Yes,Trilepida joshuai,Trilepida_joshuai,
Trilepida macrolepis,Trilepida macrolepis,Reptilia,Serpentes,Leptotyphlopidae,Trilepida,macrolepis,1858,LC,LC,2014,2019,LC,No,No,No,No,Yes,Trilepida macrolepis,Trilepida_macrolepis,
Trilepida nicefori,Trilepida nicefori,Reptilia,Serpentes,Leptotyphlopidae,Trilepida,nicefori,1946,DD,DD,2013,2015,DD,No,No,No,Yes,Yes,Trilepida nicefori,Trilepida_nicefori,
Tropidurus torquatus,Tropidurus torquatus,Reptilia,Iguania,Tropiduridae,Tropidurus,torquatus,1820,LC,LC,2014,2019,NE,No,No,No,No,No,NA,Tropidurus_torquatus,
Tupinambis cryptus,Tupinambis cryptus,Reptilia,Gymnophthalmoidea,Teiidae,Tupinambis,cryptus,2016,NE,NE,NA,NA,NE,No,No,Appendix II,No,No,NA,NA,
Tupinambis teguixin,Tupinambis teguixin,Reptilia,Gymnophthalmoidea,Teiidae,Tupinambis,teguixin,1758,LC,LC,2015,2021,LC,No,No,Appendix II,No,Yes,Tupinambis teguixin,Tupinambis_teguixin,
Ungaliophis panamensis,Ungaliophis panamensis,Reptilia,Serpentes,Boidae,Ungaliophis,panamensis,1933,LC,LC,2013,2015,LC,No,No,Appendix II,No,Yes,Ungaliophis panamensis,Ungaliophis_panamensis,
Uracentron azureum,Uracentron azureum,Reptilia,Iguania,Tropiduridae,Uracentron,azureum,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Uracentron azureum,Uracentron_azureum,
Uracentron flaviceps,Uracentron flaviceps,Reptilia,Iguania,Tropiduridae,Uracentron,flaviceps,1855,LC,LC,2014,2019,LC,No,No,No,No,Yes,Uracentron flaviceps,Uracentron_flaviceps,
Uranoscodon superciliosus,Uranoscodon superciliosus,Reptilia,Iguania,Tropiduridae,Uranoscodon,superciliosus,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Uranoscodon superciliosus,Uranoscodon_superciliosus,
Urotheca decipiens,Urotheca decipiens,Reptilia,Serpentes,Colubridae,Urotheca,decipiens,1893,LC,LC,2012,2021,DD,No,No,No,No,Yes,Urotheca decipiens,Urotheca_decipiens,
Urotheca dumerilli,Urotheca dumerilli,Reptilia,Serpentes,Colubridae,Urotheca,dumerilli,1840,DD,DD,2013,2015,DD,No,No,No,Yes,Yes,Urotheca dumerilli,Urotheca_dumerilli,
Urotheca fulviceps,Urotheca fulviceps,Reptilia,Serpentes,Colubridae,Urotheca,fulviceps,1886,LC,LC,2015,2017,DD,No,No,No,No,Yes,Urotheca fulviceps,Urotheca_fulviceps,
Urotheca lateristriga,Urotheca lateristriga,Reptilia,Serpentes,Colubridae,Urotheca,lateristriga,1859,LC,LC,2013,2015,LC,No,No,No,No,Yes,Urotheca lateristriga,Urotheca_lateristriga,
Urotheca multilineata,Urotheca multilineata,Reptilia,Serpentes,Colubridae,Urotheca,multilineata,1863,LC,LC,2014,2022,NE,No,No,No,Yes,Yes,Urotheca multilineata,Urotheca_multilineata,
Urotheca pachyura,Urotheca pachyura,Reptilia,Serpentes,Colubridae,Urotheca,pachyura,1875,LC,LC,2012,2022,NE,No,No,No,No,No,NA,Urotheca_pachyura,
Varzea altamazonica,Varzea altamazonica,Reptilia,Scincomorpha,Scincidae,Varzea,altamazonica,2006,LC,LC,2014,2021,NE,No,No,No,No,Yes,Varzea altamazonica,Varzea_altamazonica,
Varzea bistriata,Varzea bistriata,Reptilia,Scincomorpha,Scincidae,Varzea,bistriata,1825,LC,LC,2014,2019,NE,No,No,No,No,Yes,Varzea bistriata,Varzea_bistriata,
Xenodon rabdocephalus,Xenodon rabdocephalus,Reptilia,Serpentes,Colubridae,Xenodon,rabdocephalus,1824,LC,LC,2014,2019,LC,No,No,No,No,Yes,Xenodon rabdocephalus,Xenodon_rabdocephalus,
Xenodon severus,Xenodon severus,Reptilia,Serpentes,Colubridae,Xenodon,severus,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Xenodon severus,Xenodon_severus,
Xenopholis scalaris,Xenopholis scalaris,Reptilia,Serpentes,Colubridae,Xenopholis,scalaris,1861,LC,LC,2014,2019,LC,No,No,No,No,Yes,Xenopholis scalaris,Xenopholis_scalaris,
Xenoxybelis argenteus,Xenoxybelis argenteus,Reptilia,Serpentes,Colubridae,Xenoxybelis,argenteus,1803,LC,LC,2014,2019,LC,No,No,No,No,Yes,Philodryas argentea,Philodryas_argentea,
Anolis tequendama,Anolis tequendama,Reptilia,Iguania,Anolidae,Anolis,tequendama,2023,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Anolis quimbaya,Anolis quimbaya,Reptilia,Iguania,Anolidae,Anolis,quimbaya,2023,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Anadia hollandi,Anadia hollandi,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Anadia,hollandi,2022,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Pholidobolus argosi,Pholidobolus argosi,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Pholidobolus,argosi,2023,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Pholidobolus celsiae,Pholidobolus celsiae,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Pholidobolus,celsiae,2023,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Pholidobolus odinsae,Pholidobolus odinsae,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Pholidobolus,odinsae,2023,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
